"VP" "Bed" "R1_MP_P1" "R1_MT_P1" "R1_AC_P1" "R1_DA_P1" "R2_MP_P1" "R2_MT_P1" "R2_AC_P1" "R2_DA_P1" "age" "sex" "language" "fach" "date" "time" "C1_R" "C1_MP_1" "C1_MT_1" "C1_AC_1" "C1_DA_1" "C1_MP_1_rt" "C1_MT_1_rt" "C1_AC_1_rt" "C1_DA_1_rt" "C2_R" "C2_MP_1" "C2_MT_1" "C2_AC_1" "C2_DA_1" "C2_MP_1_rt" "C2_MT_1_rt" "C2_AC_1_rt" "C2_DA_1_rt" "C3_R" "C3_MP_1" "C3_MT_1" "C3_AC_1" "C3_DA_1" "C3_MP_1_rt" "C3_MT_1_rt" "C3_AC_1_rt" "C3_DA_1_rt" "C4_R" "C4_MP_1" "C4_MT_1" "C4_AC_1" "C4_DA_1" "C4_MP_1_rt" "C4_MT_1_rt" "C4_AC_1_rt" "C4_DA_1_rt"
38 2 100 99.5 50 49 100 100 49.5 50 20 2 1 "PHIPHYPOL1FS" "10/14/09" "13:07:23" 2 100 100 49 50 14544 89370 21721 48721 1 100 100 50 49 6048 33625 18593 42241 2 100 100 50 50 6105 9969 7823 17360 1 100 99 50 49 6392 35136 22416 34793
39 2 84 91.5 79 87 82 87 84.5 87 25 1 1 "GEOGRAPHIE" "10/14/09" "14:52:19" 1 89 89 79 85 11217 17656 20969 14255 2 80 84 99 89 11063 15689 12553 25904 2 84 90 70 85 11081 25168 20024 20040 1 79 94 79 89 12855 22040 35521 21473
40 1 99.5 89.5 74.5 74.5 99 99.5 99 74.5 28 1 1 "GEOGRAPHIE" "10/14/09" "14:50:51" 1 100 79 49 49 6640 13696 6136 24368 2 99 100 99 49 4592 15432 5808 18095 1 99 100 100 100 16776 13793 7864 8808 2 99 99 99 100 16520 11976 7536 7864
41 1 99.5 99 0 99 99.5 49.5 0 99 22 1 1 "ERZIEHUNGUBI" "10/19/09" "14:01:59" 2 100 0 0 99 12000 29489 32465 26016 1 100 99 0 99 13265 19273 22656 19912 2 99 99 0 99 12472 12297 14024 35129 1 99 99 0 99 52041 30945 57377 11040
42 2 96.5 94.5 80 93 61.5 65.5 93.5 90.5 24 1 1 "ETHNOLOGIE" "10/20/09" "11:26:01" 2 94 80 90 86 19384 16064 20528 12161 2 29 51 97 95 22072 17976 24361 22257 1 99 99 70 96 13584 66913 16808 15384 1 94 90 90 90 17992 31560 15472 24952
43 1 99.5 74.5 99 99 89.5 69.5 74.5 97 20 2 1 "PHYSIKCC" "10/20/09" "15:56:24" 2 100 50 50 99 24961 10592 50473 5600 1 100 49 99 99 12296 12504 11776 15856 2 79 89 99 95 27793 38337 19856 14832 1 99 100 99 99 7689 6576 8904 16761
44 2 92 99.5 60 91.5 84 95 94 94.5 25 1 1 "ENGBSPANBIO" "10/22/09" "11:54:25" 1 89 99 90 89 8433 13169 22193 23576 2 89 100 99 99 11001 11944 5353 10096 1 95 100 30 94 7376 9665 11073 8767 2 79 90 89 90 19505 10937 7336 7057
46 1 99.5 0 0 100 99.5 50 0 99.5 31 2 1 "PSYCHOLOGIE" "10/22/09" "15:07:58" 2 100 100 0 100 9232 67050 23696 41913 2 99 0 0 99 11561 13496 15897 15424 1 99 0 0 100 10136 18432 12993 20225 1 100 0 0 100 14976 15633 14592 18944
47 2 100 99.5 54 91.5 52.5 69 100 94.5 22 2 1 "ARCHAIELOGIE" "10/22/09" "15:52:39" 1 100 100 79 89 10593 19392 14408 9993 2 50 59 100 100 11384 12463 10361 7504 2 55 79 100 89 14272 23208 13496 61761 1 100 99 29 94 19161 53104 10328 47383
48 1 100 50 0 0 100 99.5 100 100 20 2 1 "PSYCHOLOGIE" "10/29/09" "11:15:42" 2 100 99 100 100 7376 35489 13624 15824 1 100 100 0 0 8633 20952 29045 13104 1 100 0 0 0 8584 11816 10969 8351 2 100 100 100 100 8937 27793 30441 21601
49 2 94 95 39.5 85 34.5 64 89 59.5 26 1 1 "PSSYCHOLOGIE" "10/29/09" "12:13:36" 1 89 90 69 90 8168 13857 10176 22672 1 99 100 10 80 5895 7185 17897 17383 2 49 49 89 20 7001 23145 8584 10144 2 20 79 89 99 9312 18617 17120 11727
50 1 99 0 50 0 99.5 0 49.5 0 20 1 1 "PSYCHOLOGIE" "10/29/09" "12:32:06" 1 99 0 0 0 13233 12943 7191 21517 2 99 0 99 0 6401 10145 28624 17704 2 100 0 0 0 10840 5728 7320 25465 1 99 0 100 0 7031 20576 8193 11296
